2016-07-00108,,c1
2016-12-00143,,c1
2016-03-00179,,c1
2016-06-00147,,c1
2016-11-00073,,c1
2016-01-00207,,c1
2016-06-00051,U,c1
2016-04-00034,O,c1
2016-04-00083,,c1
2016-11-00178,,c1
2016-01-00213,,c1
2016-12-00154,,c1
2016-05-00058,,c1
2016-10-00255,,c1
2016-08-00059,,c1
2016-04-00168,,c1
2016-05-00084,O,c1
2016-11-00025,,c1
2016-08-00202,,c1
2016-02-00099,,c1
2016-06-00019,,c1
2016-02-00105,,c1
2016-04-00189,O,c1
2016-01-00209,,c1
2016-09-00109,,c1
2016-04-00191,,c1
2016-06-00132,O,c1
2016-12-00140,,c1
2016-11-00152,,c1
2016-11-00191,S,c1
2016-09-00034,,c1
2016-10-00218,,c1
2016-11-00211,S,c1
2016-07-00036,,c1
2016-02-00068,,c1
2016-07-00028,,c1
2016-11-00017,,c1
2016-01-00073,,c1
2016-02-00291,,c1
2016-06-00131,,c1
2016-12-00152,,c1
2016-03-00023,O,c1
2016-04-00044,,c1
2016-12-00110,,c1
2016-03-00190,,c1
2016-01-00043,O,c1
2016-07-00075,,c1
2016-10-00002,,c1
2016-08-00183,,c1
2016-04-00091,O,c1
2016-03-00015,,c1
2016-04-00227,,c1
2016-05-00005,,c2
2016-08-00015,,c2
2016-05-00080,,c2
2016-08-00204,,c2
2016-11-00188,,c2
2016-04-00192,,c2
2016-02-00021,O,c2
2016-10-00224,,c2
2016-07-00025,,c2
2016-04-00049,,c2
2016-02-00190,,c2
2016-02-00065,,c2
2016-03-00032,,c2
2016-03-00189,,c2
2016-01-00008,,c2
2016-06-00035,,c2
2016-01-00081,,c2
2016-03-00011,,c2
2016-10-00140,,c2
2016-05-00140,,c2
2016-06-00133,,c2
2016-03-00213,,c2
2016-12-00010,,c2
2016-02-00128,,c2
2016-09-00066,,c2
2016-06-00000,,c2
2016-10-00196,,c2
2016-05-00096,,c2
2016-09-00105,,c2
2016-08-00152,,c2
2016-07-00063,,c2
2016-06-00165,,c2
2016-06-00015,,c2
2016-05-00078,,c2
2016-04-00079,,c2
2016-09-00096,,c2
2016-06-00066,,c2
2016-03-00158,,c2
2016-12-00026,,c2
2016-01-00064,,c2
2016-04-00032,,c2
2016-11-00003,,c2
2016-01-00137,O,c2
2016-03-00227,,c2
2016-08-00178,,c2
2016-08-00091,O,c2
2016-06-00056,,c2
2016-01-00080,O,c2
